Eval_ID,Q_c,Q_l,R_u,mu,R_T,Z_l,z_l,Mean_Reward,Min_Reward,Success_Rate,Mean_Time,TR_Length
0,1946.1110996603966,278.7158430367708,983.6670336723328,6.014817726612091,926.687015235424,9893.640206886528,173.3664472435537,39.320116950105216,24.92695702826671,0.0,2.26,0.8
1,378.6983649432659,1373.9452573657036,192.48648822307587,0.9671205833554268,384.86135867238045,1141.7769615833504,30284.88560929704,89.6965330889598,4.557448291507533,0.0,4.37,0.8
2,852.8740170001984,538.5383821427822,657.0406950712204,7.63565764427185,235.53795416653156,68.2979494562885,14.102582871252588,34.65396349298294,22.211603285271757,0.0,1.5,0.8
3,1284.5368827581406,1567.2727701067924,386.78353211283684,3.0490750789642336,701.249136030674,166249.8983902946,2464.050497280626,41.71441317035337,23.11040631698778,0.0,2.27,0.8
4,1020.9724180102348,992.7284618020058,64.00322998315096,3.9412685632705693,568.203365623951,5178.305301151325,124.67087128138306,52.5401912259214,-17.391202671517263,0.0,2.79,0.8
5,593.2627600729465,1900.5210940241814,855.1909282803535,9.295845675468446,118.83375434577465,163.328970700673,22003.356968284617,77.89567104445047,15.401026991610701,0.0,4.155,0.8
6,177.61723113805056,190.58225090801716,266.0055285990238,2.322727915644646,252.54769453406334,35.74483145561372,942.9862278619493,51.77074362017672,24.15062756154414,0.0,2.3200000000000003,0.8
7,1748.9539968967438,1156.8173567652702,536.2555461525917,7.211516821384429,809.250619828701,23783.126896541304,166410.97261720317,140.01832489867132,2.657976221725002,0.0,4.659999999999999,0.8
8,1610.8821505308151,643.8184479773045,374.35844722390175,9.946898752450943,483.32387590408325,112061.85785039057,51.958870341474885,32.50829959952208,22.469728922987475,0.0,1.4500000000000002,0.8
9,58.979703705757856,1735.0562584996223,584.1221961975098,4.440722650289535,956.8655729293823,101.2837192605597,9262.651688430455,94.16301782478976,71.21628187477641,0.0,5.71,0.8
10,705.0665690302849,415.46661727130413,49.3103313036263,6.463650697469711,667.1677582263947,556.7016782924982,638.6837346508775,28.67855503966463,17.46393268079311,0.0,1.3050000000000002,0.8
11,1152.2091235518456,1448.262013733387,776.1093391180038,1.7267648234963417,148.7829445451498,20286.714948082834,113872.10422920837,148.11856647416013,90.73996056342241,0.0,5.965,0.8
12,1419.6442849636078,116.29510323703289,704.785396873951,0.2944081790745259,32.07832790911198,58523.19848381154,261.1538051568521,289.3829990739561,47.09700215249946,0.25,10.535000000000002,0.8
